ID_Original|ID_Required
CJUS 6604|CJUS 3311
CJUS 6606|CJUS 3312
CJUS 6641|CJUS 6604
CJUS 6641|CJUS 6606
CJUS 6971|CJUS 6972
ECON 3312|ECON 2000
ECON 3312|ECON 2201
ECON 3312|MATH 1301
ECON 4900|ECON 3400
ECON 4900|ECON 3312
EADM 6602|EADM 6601
EADM 6602|EADM 6602
EADM 6613|EADM 6601
EADM 6613|EADM 6607
EADM 6619|EADM 6601
EADM 6619|EADM 6607
EADM 6619|EADM 6610
EADM 6620|EADM 6601
EADM 6620|EADM 6610
EADM 6621|EADM 6601
EADM 6621|EADM 6610
EADM 6621|EADM 6620
EADM 6622|EADM 6601
EADM 6622|EADM 6610
EADM 6633|EADM 6601
EADM 6635|EADM 6601
EADM 6636|EADM 6601
ECTS 3350|ECTS 3350
ECTS 5180|ECTS 5180
ECTS 5180|ECTS 6180
ECTS 5421|ECTS 5421
ECTS 5421|ECTS 6421
ECTS 5422|ECTS 5422
ECTS 5422|ECTS 6422
ECTS 5423|ECTS 5423
ECTS 5423|ECTS 6423
ECTS 5423|ECTS 5423
ECTS 6180|ECTS 5180
ECTS 6180|ECTS 6180
ECTS 6421|ECTS 5421
ECTS 6421|ECTS 6421
ECTS 6422|ECTS 5422
ECTS 6422|ECTS 6422
ECTS 6423|ECTS 5423
ECTS 6423|ECTS 6423
ECTS 6423|ECTS 5423
EDMS 4107|EDMS 4110
EDMS 4107|EDMS 4111
EDMS 4107|EDMS 4111
EDMS 4108|EDMS 4108
ERDG 6130|ERDG 6100
ERDG 6200|ERDG 6100
ERDG 6210|ERDG 6100
ERDG 6220|ERDG 6100
ERDG 6220|ERDG 6110
ERDG 6220|ERDG 6120
ERDG 6230|ERDG 6100
EREH 6619|EREH 6617
EREH 6622|EREH 6619
EREH 6623|EREH 6617
EREH 6624|EREH 6615
EREH 6980|EREH 6980
ESTM 6980|ESTM 6954
ESEC 6072|ESEC 6071
ESPE 5532|ESPE 5530
ESPE 5532|ESPE 5531
ESPE 6610|ESPE 5530
ESPE 6610|ESPE 5531
ESPE 6610|ESPE 6609
ESPE 6610|ESPE 6609
ESPE 6619|ESPE 5532
ESPE 6619|ESPE 6631
ESPE 6619|ESPE 6632
ESPE 6619|ESPE 6633
ESPE 6619|ESPE 6634
